Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 8,92743770464222E-07 0 8,92743770464222E-07 0 
1000 8,95321306870756E-07 0 8,95321306870756E-07 0 
1500 8,99652874863932E-07 0 8,99652874863932E-07 0 
2000 9,05793022809576E-07 0 9,05793022809576E-07 0 
2500 9,13820819903322E-07 0 9,13820819903322E-07 0 
3000 9,23842414124465E-07 0 9,23842414124465E-07 0 
3500 9,3599509654041E-07 0 9,3599509654041E-07 0 
4000 9,50452495374066E-07 0 9,50452495374066E-07 0 
4500 9,67431709852917E-07 0 9,67431709852917E-07 0 
5000 9,87202746216553E-07 0 9,87202746216553E-07 0 
5500 1,01010158459758E-06 0 1,01010158459758E-06 0 
6000 1,03654737415582E-06 0 1,03654737415582E-06 0 
6500 1,06706687574842E-06 0 1,06706687574842E-06 0 
7000 1,10232819849898E-06 0 1,10232819849898E-06 0 
7500 1,14318928012835E-06 0 1,14318928012835E-06 0 
8000 1,19076894122827E-06 0 1,19076894122827E-06 0 
8500 1,2465542766904E-06 0 1,2465542766904E-06 0 
9000 1,31256730639961E-06 0 1,31256730639961E-06 0 
9500 1,39163584833568E-06 0 1,39163584833568E-06 0 
10000 1,48785183284872E-06 0 1,48785183284872E-06 0 
