Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 1,16240286729408E-07 180 -1,16240286729408E-07 0 
1000 1,16725708210197E-07 180 -1,16725708210197E-07 0 
1500 1,17543343947091E-07 180 -1,17543343947091E-07 0 
2000 1,18706466878393E-07 180 -1,18706466878393E-07 0 
2500 1,20234382450235E-07 180 -1,20234382450235E-07 0 
3000 1,22153259951574E-07 180 -1,22153259951574E-07 0 
3500 1,24497184117445E-07 180 -1,24497184117445E-07 0 
4000 1,27309832009814E-07 180 -1,27309832009814E-07 0 
4500 1,30646490958952E-07 180 -1,30646490958952E-07 0 
5000 1,34576957577792E-07 180 -1,34576957577792E-07 0 
5500 1,3918952390668E-07 180 -1,3918952390668E-07 0 
6000 1,44596313589318E-07 180 -1,44596313589318E-07 0 
6500 1,50940998366877E-07 180 -1,50940998366877E-07 0 
7000 1,58409584116725E-07 180 -1,58409584116725E-07 0 
7500 1,67246213322869E-07 180 -1,67246213322869E-07 0 
8000 1,7777662719709E-07 180 -1,7777662719709E-07 0 
8500 1,90444218617358E-07 180 -1,90444218617358E-07 0 
9000 2,05866619751305E-07 180 -2,05866619751305E-07 0 
9500 2,24928975001149E-07 180 -2,24928975001149E-07 0 
10000 2,48943621272701E-07 180 -2,48943621272701E-07 0 
