Frequency (Hz) Amplitude (m/m) Phase Angle (Deg) Real (m/m) Imaginary (m/m) 
500 4,32806791650364E-06 0 4,32806791650364E-06 0 
1000 4,34076173405629E-06 0 4,34076173405629E-06 0 
1500 4,36209586496261E-06 0 4,36209586496261E-06 0 
2000 4,39234258919896E-06 0 4,39234258919896E-06 0 
2500 4,43189696852642E-06 0 4,43189696852642E-06 0 
3000 4,48128901098244E-06 0 4,48128901098244E-06 0 
3500 4,54120515769318E-06 0 4,54120515769318E-06 0 
4000 4,61251329397783E-06 0 4,61251329397783E-06 0 
4500 4,69629992494447E-06 0 4,69629992494447E-06 0 
5000 4,79391735552781E-06 0 4,79391735552781E-06 0 
5500 4,90704906042083E-06 0 4,90704906042083E-06 0 
6000 5,03779835980822E-06 0 5,03779835980822E-06 0 
6500 5,18881029165641E-06 0 5,18881029165641E-06 0 
7000 5,36344282409118E-06 0 5,36344282409118E-06 0 
7500 5,56601298740134E-06 0 5,56601298740134E-06 0 
8000 5,80215601075906E-06 0 5,80215601075906E-06 0 
8500 6,07936874530424E-06 0 6,07936874530424E-06 0 
9000 6,40785356154083E-06 0 6,40785356154083E-06 0 
9500 6,80188634305523E-06 0 6,80188634305523E-06 0 
10000 7,28213058209803E-06 0 7,28213058209803E-06 0 
